# Inlet acid conc (mol/m3),cell_triplet_num_1,cell width -1 (m),cell length -1 (m),cell channel height -1 (m),channel velocity at exit - 1(m/s),Voltage - 1(V),current density -1 (A/m2),current density limiting bpem -1 (A/m2),AC power (KW),Pressure ratio diluate,LCObase ($/kg),SECbase(kW hr/kg),Total annual cost ,Total electricity (kW),Base output conc (mol/m3),Acid output conc (mol/m3),Na Basate (mol/m3),OH Basate (mol/m3),H Basate (mol/m3),Cl Basate (mol/m3),elec migration mono cem Na,nonelec migration mono cem Na,Base output flow (kg/s),Acid output flow (kg/s),Inlet salt (mol/m3),Outlet salt (mol/m3)
5.000000e+01,1.630000e+02,9.985618e-02,5.789890e+01,5.000000e-04,5.441648e-02,8.390056e+01,2.557782e+01,9.351424e-01,1.344444e+01,1.000023e+00,4.145820e+00,4.371930e-01,1.385644e+06,1.500222e+01,6.500000e+02,6.283060e+02,7.416318e+02,6.500000e+02,3.368944e-05,2.321340e+02,2.544916e-04,-1.022388e-04,9.531909e-03,1.105758e-02,1.196581e+03,3.554429e+02
5.789474e+01,1.630000e+02,9.982539e-02,5.815355e+01,5.000000e-04,5.434977e-02,8.374174e+01,2.550949e+01,9.414444e-01,1.344444e+01,1.046549e+00,4.155587e+00,4.368947e-01,1.391268e+06,1.501745e+01,6.500000e+02,6.331803e+02,7.412669e+02,6.500000e+02,3.364116e-05,2.330163e+02,2.538118e-04,-1.023071e-04,9.548101e-03,1.114597e-02,1.196581e+03,3.573741e+02
6.578947e+01,1.630000e+02,9.985618e-02,5.837682e+01,5.000000e-04,5.424882e-02,8.358206e+01,2.544078e+01,9.478560e-01,1.344444e+01,1.000023e+00,4.165551e+00,4.360894e-01,1.396987e+06,1.501538e+01,6.500000e+02,6.380433e+02,7.408989e+02,6.500000e+02,3.359267e-05,2.339094e+02,2.531281e-04,-1.023773e-04,9.564413e-03,1.123422e-02,1.196581e+03,3.593092e+02
7.368421e+01,1.630000e+02,9.985618e-02,5.862257e+01,5.000000e-04,5.416388e-02,8.342142e+01,2.537162e+01,9.543791e-01,1.344444e+01,1.000023e+00,4.175766e+00,4.355374e-01,1.402819e+06,1.502215e+01,6.500000e+02,6.428944e+02,7.405275e+02,6.500000e+02,3.354395e-05,2.348135e+02,2.524400e-04,-1.024491e-04,9.580849e-03,1.132232e-02,1.196581e+03,3.612484e+02
8.157895e+01,1.630000e+02,9.985618e-02,5.887285e+01,5.000000e-04,5.407815e-02,8.325982e+01,2.530203e+01,9.610142e-01,1.344444e+01,1.000024e+00,4.186210e+00,4.349851e-01,1.408759e+06,1.502903e+01,6.500000e+02,6.477335e+02,7.401524e+02,6.500000e+02,3.349499e-05,2.357286e+02,2.517475e-04,-1.025224e-04,9.597414e-03,1.141027e-02,1.196581e+03,3.631924e+02
8.947368e+01,1.630000e+02,9.985621e-02,5.912771e+01,5.000000e-04,5.399161e-02,8.309722e+01,2.523198e+01,9.677623e-01,1.344444e+01,1.000009e+00,4.196882e+00,4.344321e-01,1.414808e+06,1.503604e+01,6.500000e+02,6.525600e+02,7.397733e+02,6.500000e+02,3.344579e-05,2.366546e+02,2.510506e-04,-1.025970e-04,9.614111e-03,1.149805e-02,1.196581e+03,3.651414e+02
9.736842e+01,1.630000e+02,9.985621e-02,5.938720e+01,5.000000e-04,5.390424e-02,8.293360e+01,2.516147e+01,9.746248e-01,1.344444e+01,1.000009e+00,4.207782e+00,4.338787e-01,1.420966e+06,1.504318e+01,6.500000e+02,6.573737e+02,7.393900e+02,6.500000e+02,3.339633e-05,2.375918e+02,2.503490e-04,-1.026727e-04,9.630946e-03,1.158566e-02,1.196581e+03,3.670960e+02
1.052632e+02,1.630000e+02,9.982589e-02,5.966952e+01,5.000000e-04,5.383236e-02,8.276889e+01,2.509047e+01,9.816040e-01,1.344444e+01,1.047063e+00,4.218930e+00,4.335781e-01,1.427242e+06,1.505926e+01,6.500000e+02,6.621742e+02,7.390022e+02,6.500000e+02,3.334660e-05,2.385402e+02,2.496426e-04,-1.027496e-04,9.647922e-03,1.167311e-02,1.196581e+03,3.690563e+02
1.131579e+02,1.630000e+02,9.985618e-02,5.992032e+01,5.000000e-04,5.372692e-02,8.260313e+01,2.501900e+01,9.887001e-01,1.344444e+01,1.000024e+00,4.230271e+00,4.327694e-01,1.433618e+06,1.505785e+01,6.500000e+02,6.669613e+02,7.386097e+02,6.500000e+02,3.329659e-05,2.394998e+02,2.489315e-04,-1.028274e-04,9.665043e-03,1.176038e-02,1.196581e+03,3.710229e+02
1.210526e+02,1.630000e+02,9.985618e-02,6.019407e+01,5.000000e-04,5.363689e-02,8.243623e+01,2.494701e+01,9.959167e-01,1.344444e+01,1.000024e+00,4.241861e+00,4.322134e-01,1.440115e+06,1.506537e+01,6.500000e+02,6.717346e+02,7.382123e+02,6.500000e+02,3.324629e-05,2.404710e+02,2.482153e-04,-1.029060e-04,9.682315e-03,1.184747e-02,1.196581e+03,3.729960e+02
1.289474e+02,1.630000e+02,9.985618e-02,6.047275e+01,5.000000e-04,5.354591e-02,8.226816e+01,2.487451e+01,1.003256e+00,1.344444e+01,1.000024e+00,4.253686e+00,4.316562e-01,1.446729e+06,1.507303e+01,6.500000e+02,6.764936e+02,7.378097e+02,6.500000e+02,3.319570e-05,2.414538e+02,2.474939e-04,-1.029854e-04,9.699742e-03,1.193438e-02,1.196581e+03,3.749758e+02
1.368421e+02,1.630000e+02,9.985618e-02,6.075644e+01,5.000000e-04,5.345396e-02,8.209890e+01,2.480148e+01,1.010719e+00,1.344444e+01,1.000024e+00,4.265747e+00,4.310979e-01,1.453461e+06,1.508083e+01,6.500000e+02,6.812382e+02,7.374017e+02,6.500000e+02,3.314480e-05,2.424483e+02,2.467673e-04,-1.030654e-04,9.717329e-03,1.202109e-02,1.196581e+03,3.769627e+02
1.447368e+02,1.630000e+02,9.985618e-02,6.104524e+01,5.000000e-04,5.336100e-02,8.192840e+01,2.472791e+01,1.018310e+00,1.344444e+01,1.000024e+00,4.278048e+00,4.305383e-01,1.460315e+06,1.508877e+01,6.500000e+02,6.859679e+02,7.369881e+02,6.500000e+02,3.309358e-05,2.434549e+02,2.460352e-04,-1.031460e-04,9.735080e-03,1.210761e-02,1.196581e+03,3.789569e+02
1.526316e+02,1.630000e+02,9.985618e-02,6.133929e+01,5.000000e-04,5.326700e-02,8.175664e+01,2.465377e+01,1.026031e+00,1.344444e+01,1.000024e+00,4.290593e+00,4.299773e-01,1.467294e+06,1.509685e+01,6.500000e+02,6.906824e+02,7.365685e+02,6.500000e+02,3.304204e-05,2.444737e+02,2.452976e-04,-1.032271e-04,9.753001e-03,1.219394e-02,1.196581e+03,3.809588e+02
